A,C,D,E
1526519,101,0,0
1526687,66,3,0.3
1526771,67,1,0.1
1526870,45,0,0
1526791,51,0,0
1526718,61,0,0
1526815,74,3,-0.4
1528030,14,0,0
1528205,42,0,0
1528087,17,0,0
1527727,30,9,-0.3
1528197,10,0,0
1527867,45,0,0
1527346,44,0,0
1527748,57,0,0
1528214,10,0,0
1527750,89,0,0
1528041,9,0,0
1528095,61,0,0
1527354,11,0,0
1528114,57,11,-0.7
1528068,6,0,0
1527759,31,0,0
1528133,25,11,-0.6
1527921,27,0,0
1528145,60,4,0.2
1528153,18,0,0
1528550,8,0,0
1528159,33,1,0.1
1528163,20,0,0
1528799,69,0,0
1528995,28,2,0.2
1528175,25,0,0
1527034,61,0,0
1527182,11,0,0
1530873,6,0,0
1531270,15,0,0
1531127,35,0,0
1531099,62,0,0
1565656,18,0,0
1532061,151,0,0
1532236,6,0,0
1531149,9,0,0
1531814,18,0,0
1533340,39,0,0
1533644,28,2,-0.2
1533753,61,0,0
1533885,21,0,0
1533768,77,3,-0.6
1533912,18,0,0
1533837,91,0,0
1533842,16,2,-0.2
1533844,57,0,0
1533850,23,0,0
1533737,25,0,0
1533739,74,0,0
1533930,9,0,0
1533933,96,30,-1.6
1535130,7,0,0
1535191,35,0,0
1534965,3,0,0
1535032,55,0,0
1534872,84,10,-0.9
1535065,44,5,-0.5
1535967,35,0,0
1535977,88,0,0
1536002,98,6,-0.7
1536361,9,0,0
1536047,3,0,0
1536054,3,0,0
1535755,1,0,0
1537538,9,0,0
1537483,37,0,0
1539270,141,0,0
1538878,47,4,-0.4
1537924,40,65,-1.7
1503080,34,0,0
1502242,12,0,0
1502273,66,10,0.2
1504658,56,0,0
1505610,60,0,0
1505799,95,0,0
1505664,12,0,0
1505970,28,0,0
1506724,24,0,0
1506901,27,0,0
1549544,78,2,-0.2
1549981,14,0,0
1549949,5,0,0
1550379,53,10,0
1549758,3,0,0
1550588,93,2,-0.4
1550126,8,0,0
1550488,1,0,0
1550493,74,2,-0.3
1550498,47,0,0
1551113,39,0,0
1550554,86,0,0
1550328,7,0,0
1551249,27,0,0
1551458,3,0,0
1551406,21,0,0
1550705,46,0,0
1551895,5,0,0
1551531,7,0,0
1551318,4,1,-0.1
1551492,65,1,-0.2
1551614,26,0,0
1551918,11,0,0
1551935,11,0,0
1551338,21,0,0
1551574,51,0,0
1551875,50,0,0
1551584,2,0,0
1550729,86,1,0.1
1551064,37,0,0
1551067,31,5,0.1
1552109,58,2,0.1
1549671,5,0,0
1552497,42,0,0
1551843,28,0,0
1552228,35,0,0
1552635,58,0,0
1552932,28,0,0
1552934,10,0,0
1552935,37,24,1.1
1552481,64,1,-0.2
1552427,57,0,0
1552651,26,0,0
1552538,18,0,0
1552837,21,0,0
1552998,9,22,-3.1
1553428,20,0,0
1552975,34,0,0
1553354,2,0,0
1553436,8,0,0
1553035,3,0,0
1553248,15,1,-0.1
1553726,47,0,0
1553447,20,0,0
1553167,106,0,0
1553192,27,2,0.2
1553168,12,0,0
1553751,3,0,0
1553683,29,0,0
1553687,65,8,-0.7
1553086,38,0,0
1553273,66,9,-0.9
1553696,4,0,0
1553281,80,1,-0.1
1553301,14,0,0
1553284,37,0,0
1553494,71,0,0
1554264,14,0,0
1554243,21,0,0
1555408,8,0,0
1555409,10,0,0
1555411,3,0,0
1555079,58,0,0
1555591,12,0,0
1555799,14,0,0
1566049,36,0,0
1566321,10,0,0
1565774,24,0,0
1566015,3,0,0
1566292,6,0,0
1566393,8,0,0
1566186,10,0,0
1566612,11,0,0
1566463,24,0,0
1566154,9,1,0
1566465,63,1,-0.2
1566589,6,12,-0.4
1566127,10,0,0
1566375,2,0,0
1566443,59,7,0.1
1566444,46,9,0.1
1566637,31,0,0
1566170,3,0,0
1566386,23,6,-0.5
1566567,39,0,0
1566579,61,4,0.4
1566259,7,0,0
1566260,4,0,0
1566274,20,0,0
1566281,48,0,0
1565937,14,0,0
1565827,28,14,0.5
1550461,123,1,-0.2
1550463,6,1,0
1550051,12,0,0
1550593,72,6,0.6
1550470,28,0,0
1550397,10,0,0
1550597,9,0,0
1550477,6,0,0
1550482,63,0,0
1550404,53,18,-1.7
1550405,32,0,0
1550833,14,0,0
1550145,31,0,0
1550662,29,0,0
1550456,69,0,0
1550300,64,12,-0.9
1550202,10,0,0
1550302,32,0,0
1550305,73,0,0
1551004,3,0,0
1551444,58,7,-1.3
1551589,61,0,0
1551313,5,0,0
1551912,49,0,0
1551631,33,0,0
1551044,72,0,0
1552097,36,0,0
1552288,10,0,0
1552131,59,0,0
1551391,19,0,0
1549515,17,0,0
1550784,18,0,0
1552323,39,0,0
1552924,47,1,0.1
1552454,34,1,0
1552525,29,1,0
1552944,26,0,0
1553116,71,0,0
1552946,100,0,0
1552828,41,0,0
1552955,21,0,0
1552831,26,1,0
1552668,24,0,0
1552915,21,0,0
1552469,6,0,0
1552059,33,0,0
1553528,63,0,0
1553333,69,4,0.2
1553437,89,3,-0.3
1553411,81,2,-0.1
1553166,60,0,0
1553419,35,1,0
1553421,33,0,0
1553547,13,0,0
1553063,66,0,0
1553548,4,0,0
1553075,60,2,-0.2
1553471,35,0,0
1553685,47,0,0
1553504,12,0,0
1553757,8,0,0
1553568,61,14,0.4
1553510,22,2,0
1553605,19,0,0
1553304,34,29,0.5
1553680,12,12,-1.5
1554005,16,0,0
1555461,4,0,0
1555796,9,0,0
1555599,39,0,0
1555780,7,0,0
1555626,20,0,0
1509625,20,0,0
1522074,134,11,-0.3
1522087,101,0,0
1522563,38,0,0
1523108,7,0,0
1522987,41,3,0.1
1523162,24,0,0
1523401,15,0,0
1523767,43,0,0
1523960,10,1,0.1
1523785,10,0,0
1524052,35,0,0
1524380,20,0,0
1524382,24,0,0
1524250,33,2,-0.3
1524519,8,0,0
1524680,43,2,0.2
1525186,18,0,0
1524909,8,0,0
1524931,31,19,-0.8
1525398,45,19,0.5
1524940,15,0,0
1525296,53,0,0
1525412,94,1,-0.1
1525971,7,1,0
1525462,23,0,0
1525697,9,0,0
1525836,19,0,0
1525617,19,4,-0.4
1526189,5,0,0
1526405,71,1,-0.1
1526052,17,0,0
1526269,67,0,0
1526055,26,3,0.3
1526270,10,0,0
1526106,11,0,0
1526386,52,0,0
1526109,24,0,0
1526015,22,0,0
1526085,8,0,0
1526033,48,0,0
1525932,36,1,0.1
1526275,32,0,0
1526487,70,0,0
1526092,49,0,0
1526473,4,0,0
1526415,44,17,0.1
1526237,86,5,0.1
1526253,6,0,0
1526769,43,0,0
1526133,55,0,0
1526423,60,14,0.1
1526134,48,41,1
1526350,7,0,0
1526333,4,0,0
1526695,14,0,0
1526335,5,0,0
1526875,61,0,0
1526798,13,0,0
1526799,15,0,0
1526700,79,0,0
1526801,27,0,0
1526456,26,1,-0.1
1526319,11,0,0
1526780,25,0,0
1526842,19,0,0
1527037,20,2,-0.4
1526843,45,64,0.6
1527076,10,12,1.2
1526342,33,0,0
1526753,30,0,0
1526707,16,0,0
1527084,33,4,-0.1
1526932,1,0,0
1527193,5,1,0
1527090,50,10,-1.1
1527091,39,27,-1.1
1527110,54,0,0
1526950,79,3,0
1527377,61,0,0
1526665,25,0,0
1527200,23,1,0
1526666,18,0,0
1527598,32,0,0
1527401,26,0,0
1527065,64,0,0
1527579,13,0,0
1526966,3,0,0
1527497,41,0,0
1527606,15,0,0
1527303,51,15,-1.7
1527223,4,0,0
1527610,27,0,0
1527144,28,31,-1.9
1527612,77,1,0
1527504,6,0,0
1527421,40,47,1.1
1527625,39,2,-0.3
1527320,21,0,0
1527794,13,0,0
1527506,59,22,0.2
1527796,27,0,0
1527821,50,0,0
1527822,27,0,0
1527526,12,0,0
1527270,53,0,0
1527510,14,0,0
1527826,72,0,0
1527453,12,0,0
1527432,19,0,0
1527828,20,0,0
1527434,24,0,0
1527513,53,2,0.2
1527435,51,4,0
1527436,47,0,0
1527162,64,4,0.1
1527809,48,0,0
1527460,17,0,0
1527536,25,4,0
1527811,50,1,-0.1
1527262,62,0,0
1527463,51,0,0
1527550,52,1,-0.2
1528178,8,0,0
1528181,61,0,0
1527709,34,0,0
1527888,8,0,0
1528004,38,6,0.1
1527563,52,0,0
1528036,22,6,-0.2
1528022,64,0,0
1528027,50,0,0
1528044,23,0,0
1528045,31,1,-0.1
1528122,57,12,0.7
1528108,37,0,0
1528061,77,0,0
1528110,18,0,0
1528132,11,0,0
1527919,68,5,-0.8
1527923,3,0,0
1528148,12,0,0
1528138,6,0,0
1527939,10,0,0
1539527,78,0,0
1541251,16,0,0
1541106,16,0,0
1541227,5,0,0
1540987,52,0,0
1541338,74,4,-0.2
1541352,8,0,0
1541353,7,0,0
1541402,32,0,0
1541455,24,0,0
1541456,6,0,0
1541426,40,0,0
1542839,15,0,0
1542922,15,0,0
1542865,12,0,0
1542963,6,0,0
1543156,4,0,0
1543014,3,0,0
1541669,4,1,0.1
1543176,55,0,0
1543217,37,0,0
1542176,5,0,0
1544160,22,1,0.1
1544332,55,0,0
1541863,12,1,0
1544199,20,0,0
1544535,17,1,-0.2
1544628,120,0,0
1544455,17,7,0.7
1544678,38,1,0
1544986,90,0,0
1544953,32,0,0
1544687,11,0,0
1544782,41,2,-0.4
1544826,66,8,0.5
1544794,15,4,-0.2
1544871,73,0,0
1545028,14,0,0
1544887,4,0,0
1544895,100,0,0
1544721,14,0,0
1544910,50,9,0.2
1545104,46,11,-0.7
1545116,42,0,0
1544090,1,0,0
1545126,66,0,0
1539047,24,15,0.5
1546073,12,0,0
1546113,12,0,0
1545995,58,17,0
1546329,25,0,0
1546453,4,0,0
1546428,62,0,0
1546411,39,0,0
1547167,6,3,0.3
1546663,18,0,0
1546543,69,4,-0.4
1547366,70,48,-1.2
1547197,63,0,0
1547611,19,0,0
1547290,56,0,0
1547291,74,0,0
1546553,80,1,-0.2
1547450,78,0,0
1547306,64,0,0
1547467,5,0,0
1547428,9,9,0
1546793,45,0,0
1548114,6,0,0
1547804,18,0,0
1549112,3,0,0
1548567,4,0,0
